ElectionName,DemCandidate,RepCandidate,Estimate,Chance,Flip,DemIncumbent,RepIncumbent,DemParty,RepParty,DemConfirmed,RepConfirmed
TX-20,Castro,Baez,0.6933,1,0,1,0,D,R,1,1
TX-21,Hook,Teixeira,0.4294,0.0054,0,0,0,D,R,1,1
TX-22,Greene-Scott,Nehls,0.4257,0.004,0,0,0,D,R,1,1
TX-23,Padilla Stout,Herrera,0.4678,0.1023,0,0,0,D,R,1,1
TX-24,TBD,Van Duyne,0.429,0.0056,0,0,1,D,R,1,1
TX-25,Sims,Williams,0.4079,0.0017,0,0,1,D,R,1,1
TX-26,Shook,Gill,0.3948,0.0001,0,0,1,D,R,1,1
TX-27,Lloyd,Cloud,0.4163,0.0013,0,0,1,D,R,1,1
TX-28,Cuellar,Tijerina,0.5324,0.8787,0,1,0,D,R,1,1
TX-29,Garcia,Fierro,0.7265,1,0,1,0,D,R,1,1
TX-30,Haynes,TBD,0.7775,1,0,0,0,D,R,1,1
TX-31,Early,Carter,0.4008,0.0002,0,0,1,D,R,1,1
TX-32,Barrios,TBD,0.4482,0.0326,1,0,0,D,R,1,1
TX-33,Johnson,TBD,0.7062,1,0,1,0,D,R,0,1
TX-34,Gonzalez,Flores,0.5115,0.6612,0,1,0,D,R,1,1
TX-35,TBD,TBD,0.4869,0.3176,1,0,0,D,R,1,1
TX-36,Hart,Babin,0.3981,0.0001,0,0,1,D,R,1,1
TX-37,Casar,TBD,0.8275,1,0,1,0,D,R,1,1
TX-38,McDonough,TBD,0.4321,0.0078,0,0,0,D,R,1,1
UT-01,TBD,Moore,0.6054,0.9999,1,0,1,D,R,1,0
UT-02,TBD,TBD,0.3892,0.0001,0,0,0,D,R,1,1
UT-03,TBD,TBD,0.2677,0,0,0,1,D,R,1,0
UT-04,TBD,TBD,0.3721,0,0,0,0,D,R,1,1
VT-AL,Balint,TBD,0.7106,1,0,1,0,D,R,0,1
VA-01,TBD,Wittman,0.475,0.1943,0,0,1,D,R,1,0
VA-02,TBD,Kiggans,0.5132,0.6747,1,0,1,D,R,1,0
VA-03,Scott,TBD,0.7282,1,0,1,0,D,R,0,1
VA-04,McClellan,TBD,0.7072,1,0,1,0,D,R,0,1
VA-05,TBD,McGuire,0.4545,0.0548,0,0,1,D,R,1,0
VA-06,TBD,Cline,0.3907,0.0001,0,0,1,D,R,1,0
VA-07,Vindman,TBD,0.5538,0.9742,0,1,0,D,R,0,1
VA-08,Beyer,TBD,0.7814,1,0,1,0,D,R,0,1
VA-09,TBD,Griffith,0.3034,0,0,0,1,D,R,1,0
VA-10,Subramanyam,TBD,0.5679,0.9922,0,1,0,D,R,0,1
VA-11,Walkinshaw,TBD,0.7505,1,0,1,0,D,R,0,1
WA-01,DelBene,TBD,0.6703,1,0,1,0,D,R,0,1
WA-02,Larsen,TBD,0.6685,1,0,1,0,D,R,0,1
WA-03,Gluesenkamp Perez,TBD,0.5443,0.9376,0,1,0,D,R,0,1
WA-04,TBD,TBD,0.4333,0.0089,0,0,0,D,R,1,1
WA-05,TBD,Baumgarter,0.4309,0.0078,0,0,1,D,R,1,0
WA-06,Randall,TBD,0.6127,1,0,1,0,D,R,0,1
WA-07,Jayapal,TBD,0.8878,1,0,1,0,D,R,0,1
WA-08,Schrier,TBD,0.5741,0.9951,0,1,0,D,R,0,1
WA-09,Smith,TBD,0.7589,1,0,1,0,D,R,0,1
WA-10,Strickland,TBD,0.6214,1,0,1,0,D,R,0,1
WV-01,TBD,Miller,0.3089,0,0,0,1,D,R,1,0
WV-02,TBD,Moore,0.3193,0,0,0,1,D,R,1,1
WI-01,TBD,Steil,0.4841,0.2894,0,0,1,D,R,1,0
WI-02,Pocan,TBD,0.7396,1,0,1,0,D,R,0,1
WI-03,TBD,Van Orden,0.5118,0.6616,1,0,1,D,R,1,0
WI-04,Moore,TBD,0.8013,1,0,1,0,D,R,0,1
WI-05,TBD,Fitzgerald,0.3936,0.0001,0,0,1,D,R,1,0
WI-06,TBD,Grothman,0.4244,0.0042,0,0,1,D,R,1,0
WI-07,TBD,TBD,0.4262,0.0043,0,0,0,D,R,1,1
WI-08,TBD,Wied,0.4505,0.0414,0,0,1,D,R,1,0
WY-AL,TBD,TBD,0.3072,0,0,0,0,D,R,1,1
